id,user,tweet,date,query,polarity
1579398587594964994,JOParis2024,"@pdaipo @kevooo57 @lheritier945 @marcobambinojr @Footballogue Où je diverge c'est quand tu dis que vu que le foot est un jeu c'est normal qu'ils râlent, contestent...Bah si on te prend aux mots on peut dire surtout son contraire. Pk réagir en vers l'arbitre pour un jeu alors qu'avec la police tu joues ton permi, ton argent, tes points.",2022-10-10 09:09:01+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579398068910559239,JOParis2024,"@pdaipo @kevooo57 @lheritier945 @marcobambinojr @Footballogue C'est toi qui dit comparer foot et police c'est que tu comprends rien au foot. Car le foot est un jeu. Oui c'est du sport, un jeu, mais on y compte les points, il y a des enjeux colossaux plus qu'ailleurs dans le sport. Je n'ai jamais dis le contraire.",2022-10-10 09:06:58+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579397558073712641,JOParis2024,"@pdaipo @kevooo57 @lheritier945 @marcobambinojr @Footballogue Mais tu ne piges pas un truc, c'est toi qui t'excites car tu crois qu'on a  2 visions différentes. J'essaye depuis des années de faire bouger cela au niveau DTA-CFA, de donner des infos à la presse...Car mieux que personne je sais qu'on fait fausses routes, stage après stage",2022-10-10 09:04:56+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579396830907207681,JOParis2024,"@PascalPraud Le gouvernement incite au télé-travail, met chez nous à la maison avec Linky on risque les coupures et maintenant la possibilité de couper les box à distance. On va faire comment en télé-travail? Et nos enfants pour travailler!",2022-10-10 09:02:02+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579394901812604929,Astrolabe75011,"#saccageparis #saccagelaFrance #Paris2024 #JO2024 #JOParis2024 #ParissousTutelle @Anne_Hidalgo @cbrossel @OliviaPolski #TuSaccagesTuDégages #HidalgoDemission @sandrousseau 

Quand le lis @Florent_Giry je me dis qu'il a un court circuit dans sa cervelle ramollie en chantilly https://t.co/NMYCqH8Vdn",2022-10-10 08:54:22+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579393874405232640,93Caue,"Les JNA dimanche 16 octobre 2022 à 14h, prenez part à une visite en courant qui vous permettra de (re)découvrir le patrimoine sportif de l'Ile-St-Denis, St-Ouen et St-Denis, et qui sera également l'occasion de traverser le Village des Athlètes des JO 2024. https://t.co/N1ffsCLvgf https://t.co/3PfXSCJLMG",2022-10-10 08:50:18+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579393051038191616,Astrolabe75011,"#saccageparis #saccagelaFrance #Paris2024 #JO2024 #JOParis2024 #ParissousTutelle @Anne_Hidalgo @cbrossel @OliviaPolski #TuSaccagesTuDégages #HidalgoDemission @sandrousseau @Florent_Giry 

Hé Mimile la farine et les arbres déjà coupés t'en fais quoi ? https://t.co/A88w5T6z1q",2022-10-10 08:47:01+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579392987922325504,rtslaradiodusud,"Le double champion du monde de décathlon @mayer_deca était à #Montpellier hier pour inaugurer la nouvelle piste ""bleue"" du stade Philippidès, qui a la particularité d'être connectée 
#athletisme #JO2024
https://t.co/re1VbQHDML",2022-10-10 08:46:46+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579390055692800003,hk_idf,@rglucks1 J'espère que tu vas boycotter les JO 2024 à Paris aussi 🤡🤡🤡 https://t.co/Cz9y5Rxmgw,2022-10-10 08:35:07+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579387784573263874,LeDL_Grenoble,"Cyclisme / Nos 24 paris pour Paris-2024 . ""C'est un combattant, il ne veut que gagner"" : avant les JO de Paris, Rayan Helal rêve déjà d'or aux Mondiaux sur piste 

https://t.co/fCmEi8mRo1",2022-10-10 08:26:06+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579387472613584896,lncnc_all,Les boucles de Tina deviennent un centre de préparation pour les JO 2024 https://t.co/yM3JhLFUi0,2022-10-10 08:24:51+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579382735021682691,pprumduch,@CorentinSellin Le monde libre doit aider l'Ukraine à conquérir les zones occupées. Cela me rappelle les Nazis qui pratiquent les tuerie de masse. La Russie doit également être exclue des JO 2024.,2022-10-10 08:06:02+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579376610339590146,RoletH_,"👮 De la com de #crise à la #prévention, en passant par les débats sur #Twitch et la préparation aux #JO2024...
⚡ Camille Chaize, @PorteParoleMI, a accepté de répondre à mes questions pour #EngagésCom et de livrer un aperçu de son quotidien ! Par ici 👇
https://t.co/B6DIW0ce4D https://t.co/3td2DoJ6uU",2022-10-10 07:41:41+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579373828710408192,FondationMT,"💟Dîner de collecte de la @FondationMT 2022
📅13/10, Dîner-croisière sur la Seine
🌊Avec Antoine Frérot, président de @Veolia sur la thématique de l’eau &amp; des #JO2024
🙏Pour aider les élèves disposant de peu de ressources au sein des 8 écoles @IMTFrance
🖊️https://t.co/WESMhDqWfG https://t.co/Cebak2Utgw",2022-10-10 07:30:38+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579372748748787714,LazareTordo,@jerome_riviere Super  on est prêt pour les JO de 2024.....Fier d'être  français 😭😭😭😭😭,2022-10-10 07:26:21+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579372738619510785,footcrypto95,"@MllerQuentin @CPolF5 On peut parler du ""bénévolat"" pour les JO2024  prévu en France car il ne veulent pas payer ? C'est de l'esclavagisme moderne  est tout",2022-10-10 07:26:18+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579371524448215040,Panamonyme,"@Salamandredu94 Rénovation du stade pour les JO 2024, le nouveau centre d'entraînement pour 2023, ce club satellite... Ils sont trop con c'est un délire",2022-10-10 07:21:29+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579364621890510848,AgenceFRLocale,"Avec la traversée par le Marathon de @VilledAvray92, actionnaire de l'AFL depuis 2021 !
#JO2024 https://t.co/2rFzFLW3Mc",2022-10-10 06:54:03+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579363699113934848,veillet_s,"💩👉🤴 🗣🇨🇵🇬🇧 👉 la 𝙈𝘼𝘾𝙍𝙊𝙉𝙄𝙀 en #Macronie
 #MONTBRISON #NIORT #CESSONSEVIGNE #CHAUNY #NARBONNE #SAINTPRIEST #DIJON #FranceBleu #RMC #Cnews #bfmtv #lci #UE #JO2024 👀ᚙ⇘ 14p https://t.co/lfSw5aT5np",2022-10-10 06:50:23+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579357320961982464,alain06200,"@MllerQuentin @CPolF5 @rglucks1 Les accidents, parfois mortels, s'accumulent sur les chantiers en France, en particulier sur les sites du Grand Paris Express et des JO 2024.",2022-10-10 06:25:03+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
1579357199012274176,veillet_s,"🗣🇨🇵🇬🇧 👉 ∑ℚℚ 𝕋𝕀𝕋ℝ𝔼𝕊 d’avant 08:16  en #Macronie
 #SAINTBRIEUC #VILLENEUVEDASCQ #CALUIREETCUIRE #BARENTIN #BRETIGNYSURORGE #VERSAILLES #GUEBWILLER #FranceBleu #RMC #Cnews #bfmtv #lci #UE #JO2024 👀ᚙ⇘18983c https://t.co/C6f0HPcrfG",2022-10-10 06:24:33+00:00,"client.search_recent_tweets(query='JO 2024 lang:fr',tweet_fields=['context_annotations'], max_results=100)",-1
